map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-3,150,0,tb_start_w10,True,7133,180,3203,520.3,150,1
random32-20,random-32-32-20-random-3,150,1,vanilla,True,4797,65,3203,273.2,0,0
random32-20,random-32-32-20-random-3,150,0,tb_step_w10,True,4352,63,3203,712.3,11250,75
random32-20,random-32-32-20-random-3,100,2,tb_agent_w10,True,2525,44,2083,1122.8,8808,44
random32-20,random-32-32-20-random-3,100,2,tb_step_wall,True,2655,60,2083,987.7,6000,60
random32-20,random-32-32-20-random-1,200,2,pen0.1_step_w10,True,6699,104,4429,13048.7,436600,2183
random32-20,random-32-32-20-random-3,150,2,vanilla,True,4814,85,3203,176.5,0,0
random32-20,random-32-32-20-random-3,150,1,tb_step_w10,True,4604,73,3203,789.2,18450,123
random32-20,random-32-32-20-random-3,150,0,tb_agent_w10,True,4517,83,3203,1493.0,70540,174
random32-20,random-32-32-20-random-3,150,1,tb_start_w10,True,7605,194,3203,830.6,150,1
random32-20,random-32-32-20-random-3,150,0,pen0.1_step_w10,True,4517,68,3203,1302.2,12900,86
random32-20,random-32-32-20-random-3,150,1,tb_step_wall,True,4323,61,3203,1002.0,10500,70
random32-20,random-32-32-20-random-3,150,0,tb_step_wall,True,4484,82,3203,1646.0,13050,87
random32-20,random-32-32-20-random-3,150,2,tb_start_w10,True,7296,171,3203,572.4,150,1
random32-20,random-32-32-20-random-3,150,1,tb_agent_w10,True,4344,59,3203,1399.8,53642,132
random32-20,random-32-32-20-random-3,200,0,vanilla,True,8214,121,4300,358.2,0,0
random32-20,random-32-32-20-random-3,150,2,tb_step_w10,True,4297,57,3203,1164.2,11250,75
random32-20,random-32-32-20-random-3,150,1,pen0.1_step_w10,True,4554,67,3203,1417.7,16950,113
random32-20,random-32-32-20-random-3,150,2,tb_step_wall,True,4363,65,3203,989.5,10800,72
random32-20,random-32-32-20-random-1,200,1,tb_start_w10,False,-1,-1,4429,20000.9,200,1
random32-20,random-32-32-20-random-3,150,2,pen0.1_step_w10,True,4310,57,3203,1365.9,16500,110
